"ID","researcher","year","title","journal","article_type","article_type_other","continents","countries","municipalities","gen_type","urban_type","gradient_study","agriculture_type","ag_type_other","production_type","production_type_other","conservation","question","result_1","result_2","ipm"
220,"NF",2015,"wild bees (hymenoptera apoidea) in an urban botanical garden in buenos aires, argentina","Studies on Neotropical Fauna and Environment","research","","south america","Argentina","Buenos Aires","invertebrate","urban","not gradient study","botanical garden","","ornamental","","distribution;information","what bees were found in this botanic garden?","Richness and abundance of native, generalist, and above-ground nesting (cavities) species were higher than that of exotic, specialist, and below-ground (soil) nesting ones, respectively","",0
221,"NF",2012,"wild bees along an urban gradient winners and losers","Journal of Insect Conservation","research","","europe","Poland","Poznan´","invertebrate","suburb;urban","gradient study","botanical garden;residential garden","","ornamental;unknown","","distribution;information","how does the composition of bees and functional traits differ along the gradient?","there is some filtering going on -- certain functional types not found in urban areas","bee species diversity and richness remained stable across the urban gradient",0
222,"NF",2019,"wild bees and urban agriculture assessing pollinator supply and demand across urban landscapes","Urban Ecosystems","research","","north america","USA","iowa city, ia","invertebrate; plant","urban","gradient study","business garden/farm;residential garden","","food;ornamental","","distribution;information;manage_effects","how can spatial analysis used to determine pollinator services in an urban area?","Pollinator supply meets demand in 72% of the city. Surpluses occur in natural areas and heavily-vegetated, established
residential neighborhoods, whereas deficits occur in resource-poor lawns","",0
223,"NF",2019,"woody species and trait diversity-functional relations of green spaces in kumasi, ghana","Urban Ecosystems","research","","africa","Ghana","Kumasi","plant","urban","not gradient study","residential garden","","food","","information","what's the tree diversity in different land types?","home gardens had a lot of non-native fruit trees compared to other areas (no shit)","",0
224,"SKH",2018,"nonnative plants reduce population growth of an insectivorous bird","Proceedings of the National Academy of Sciences","research","","north america","USA","Washington, DC","bird; invertebrate; plant","urban","not gradient study","residential garden","","unknown","","cons_effects","Do nonnative plants influence insectivorous birds in private yards in an urban metropolitan area?","Residential yards dominated by nonnative plants had lower arthropod abundance, forcing CACH to switch diets to less preferred prey and the production of fewer young, or foregoing reproduction all together.","Lower reproductive success and unsustainable population growth in yards with non-native plants compared to those with >70% native biomass. Yards with non-native plants are population sinks for insectivores.",0
225,"NF",2015,"spider assemblages within greenspaces of a deindustrialized urban landscape","Urban Ecosystems","research","","north america","USA","Cleveland","invertebrate","urban","not gradient study","community garden/farm","","food;ornamental","","information;manage_effects","what are the spiders in different urban land types?","Community gardens contained numerically fewer spiders but a slightly richer assemblage than vacant lots","From this research, we conclude that spiders are an important
indicator group of disturbance",0
226,"NF",2015,"diversity and seasonal abundance of anthropogenic spiders (arachnida araneae) in different urban zones of the city of chilpancingo, guerrero, mexico","Revista Mexicana De Biodiversidad","research","","north america","Mexico","Chilpancingo","invertebrate","suburb;urban","not gradient study","residential garden","","food;ornamental","","distribution;information","what is the species richness of spiders in urban houses w garden, w/o garden and sub and rural areas?","urban houses w/ garden has high abundacen","urban garden and suburban garden most likely sampling from similar species pools",0
227,"NF",2013,"richness and composition of spiders in urban green spaces in toledo, ohio","Journal of Arachnology","research","","north america","USA","toledo, OH","invertebrate","urban","not gradient study","community garden/farm","","food;ornamental","","information","what are the spiders at different urban sites?","Female spider activity-density was higher in lots than in gardens, and higher in gardens than in forests","pider composition differs with urban green space habitat, maintaining a variety of habitat types may be most beneficial for spider conservation in urban landscapes",0
228,"NF",2018,"environmental drivers of spider community composition at multiple scales along an urban gradient","Biodiversity and Conservation","research","","australia","Australia","sydney","invertebrate; plant","suburb;urban","gradient study","residential garden","","ornamental","","information","what's spider abunadnce along gradient?","gardens had similar abundance to bushland","vegetation cover at microhabitat and landscape-scales, both along the gradient and within gardens, was the main driver of diversity",0
229,"NF",2015,"local and landscape correlates of spider activity density and species richness in urban gardens","Environmental Entomology","research","","north america","USA","santa cruz, santa clara, monterey","invertebrate; plant","urban","gradient study","community garden/farm","","food;ornamental","","information","how density and abundance imapcted by landcover factors?","Spider activity density and richness increased with mulch cover and flowering plantspecies, and decreased with bare soil","",0
230,"NF",2012,"biotopic distribution, population structure, and some features of small mammal reproduction in chisinau city","Biology Bulletin","research","","europe","Moldova","chisinau","mammal","urban","not gradient study","community garden/farm;residential garden","","food;ornamental","","none","where are the different species of rats and small mammals found?","Three species inhabited vegetable gardens (of 12). None caught on lawns","",0
231,"NF",2009,"bumble bees (bombus spp) along a gradient of increasing urbanization","Plos One","research","","europe","Sweden","Stockholm","invertebrate; plant","peri-urban;urban","gradient study","community garden/farm","","food;ornamental","","information","how is bumble bee diversity and abundance affected by increased urbanization","allotment gardens and other urban green areas can serve as important alternatives to natural habitats for many bumble bee species, but that the surrounding urban landscape influences how many species that will be present","",0
232,"NF",2014,"bumblebees in the city abundance, species richness and diversity in two urban habitats","Journal of Insect Conservation","research","","europe","Sweden","Gothenburg","invertebrate; plant","urban","not gradient study","community garden/farm;park garden/farm","","food;ornamental","","information","how does the abundanceof bumble bees in community gardens compare to those of ornamental garden beds"," urban garden contribute to sustaining a high abundance of bumblebees in the city centre, and indirectly facilitates small scale urban food production","Neither species richness nor abundance of bumblebees was affected by site size.",0
233,"NF",2018,"colony development and reproductive success of bumblebees in an urban gradient","Sustainability","research","","north america","USA","detroit, Ypsilanti, ann arbor","invertebrate","urban","gradient study","community garden/farm","","food;ornamental","","information","how is colony development affected by the degree of urbanization?"," Reproductive success
and colony size were positively correlated with cumulative weight gain of the nests","",0
234,"NF",2010,"determinates of inner city butterfly and bee species richness","Urban Ecosystems","research","","north america","USA","new york city","invertebrate","urban","not gradient study","community garden/farm","","food;ornamental","","information;manage_effects","what modeling paramaters explain bee and butterfly diversity?","floral resources and amount of sunlight are the biggest predictors of diversity","availability of nesting sites (messy area) open ground also good predictors. And green space surrounding",0
235,"NF",2015,"diversity and abundance of solitary and primitively eusocial bees in an urban centre a case study from northampton (england)","Journal of Insect Conservation","research","","europe","England","Northampton","invertebrate","urban","gradient study","business garden/farm;residential garden","","food;ornamental","","distribution;information","what's the diversity of this city and how does it compare to natural-ish areas on the fringes of town","the city has bee diversity, and in certain groups more in the city than the edges","",0
236,"NF",2016,"diversity and human perceptions of bees (hymenoptera apoidea) in southeast asian megacities","Genome","research","","asia","Thailand; China; Singapore; Malaysia","megacities","invertebrate","suburb;urban","not gradient study","botanical garden;residential garden","","ornamental","","information","how does bee species richness differ between megacities and suburban areas. What are people's perceptions of bees?","suburban areas and botanic gardens had similar amounts of bee diversity","people who had seen bees were more likely to have positive feelings of them",0
237,"NF",2015,"diversity of wild bees supports pollination services in an urbanized landscape","Oecologia","research","","north america","USA","chicago","invertebrate; plant","urban","not gradient study","residential garden","","food;ornamental","","information;manage_effects","how effectively do native bees pollinate fruits in urban landscapes"," Increased pollinator visitation and taxonomic richness generally led to increases in fruit and seed set for all focal plants.","flowering but non fruiting plants might aid fruit of vegetbales or are at least neutral for urban",0
238,"NF",2015,"eating locally dance decoding demonstrates that urban honey bees in brighton, uk, forage mainly in the surrounding urban area","Urban Ecosystems","research","","europe","England","Brighton","invertebrate","urban","not gradient study","experimental_research_garden","1","livestock","apiculture","information","how far are bees going for resources?","Foraging was mostly local","",0
239,"NF",2005,"ecological patterns of bees and their host ornamental flowers in two northern california cities","Journal of the Kansas Entomological Society","research","","north america","USA","east bay, CA","invertebrate; plant","urban","not gradient study","residential garden","","food;ornamental","","none","what are the bees and what do they go to in gardens?","having more species is good, often causes less attractive ones to be visited whereas they wont be visited in isolation","urban areas can provide resources for bees",0
240,"NF",2008,"the bee fauna of residential gardens in a suburb of new york city (hymenoptera apoidea)","Annals of the Entomological Society of America","research","","north america","USA","Westchester County","invertebrate","suburb","not gradient study","residential garden","","food;ornamental","","information","what is the diveristy and abundance of bees found in suburban gardens?","three species made up 25% of all collected species, and was a diverse assemblage overall despite the general paucity of resources","",0
241,"NF",2016,"the bees among us modelling occupancy of solitary bees","Plos One","research","","north america","Canada","toronto","invertebrate","urban","gradient study","community garden/farm;residential garden","","food;ornamental","","distribution;information","how do we model occupancy rates of solitary bees?","The combination of occupancy modelling with analysis of habitat variables as an augmentation to detection and abundance-based sampling is suggested to be the best way to ensure that urban habitat management results in the desired outcomes.","",0
242,"NF",2015,"the conservation value of urban green space habitats for australian native bee communities","Biological Conservation","research","","australia","Australia","Melbourn","invertebrate; plant","urban","not gradient study","residential garden","","ornamental","","distribution;information;manage_effects","what are the bees in urban areas (gold courses, parks, residential gardens)?","residential gardens were taken over with honey bees, and more florcal resources led to more honey bees","there were a lack of nesting substrates and native plants for native bees",0
243,"NF",2016,"urban gardens promote bee foraging over natural habitats and plantations","Ecology and Evolution","research","","australia","Australia","Queensland multiple cities","invertebrate; plant","suburb","gradient study","residential garden","","food;ornamental","","information","how do foraging activities differ between natural habitats, suburban gardens and monoculture?","suburban gardens can increase resource intake well above rates found in natural habitats of bee. Most likely due to increased floral resources along longer periods of time","",0
244,"TH",1991,"philadelphus-coronarius l as a reservoir of aphids and parasitoids","Journal of Applied Entomology","research","","europe","Czech Republic","Ceské Budejovice","invertebrate; plant","exurban;peri-urban;suburb;urban","not gradient study","botanical garden;business garden/farm;community garden/farm;park garden/farm;residential garden","","food;ornamental","","cons_effects;manage_effects","To provide original information from Czechoslovakia and classify the overall role of p. coronarius x Aphis fabae cirsiiacanthoidis with respect to the hymenopterous aphidiid parasitoids, their species composition, interspecific relations and their change.","The primary and secondary host plants is qualitativel similar but apparent differences occur in the dominance structure, abundance, and effectiveness of the participant species in various habitats.","Aphid specie should be protected and preserved in parks, gardens, and openly cultivated landscapes.",1
245,"TH",1993,"factors conditioning the habitat and the density of biomphalaria-tenagophila (orbigny, 1835) in an isolated schistosomiasis focus in rio-de-janeiro city","Memorias Do Instituto Oswaldo Cruz","research","","south america","Brazil","Rio de Janeiro","invertebrate","urban","not gradient study","botanical garden;community garden/farm;park garden/farm","","ornamental","","distribution;manage_effects"," the study of the influence of some environmental factors on the establishment of B. tenagophila in watercress garden.","Two factors were identified as responsible for the establishment of B. tenagophila in the garden (1) the quality of the water entering the irrigation system, to which domestic sewage is added,and (2) alterations in the nature of the substrate,","Aquatic plants and hydrological parameters of the irrigation system were subsidiary factors to the establishment of B. tenagophila in the garden.",0
246,"TH",1997,"sampling arthropod diversity for urban ecological landscaping in a species-rich southern hemisphere botanic garden","Journal of Insect Conservation","research","","africa","South Africa","KwaZulu-Natal","invertebrate; plant","exurban;peri-urban;suburb;urban","gradient study","botanical garden","","ornamental","","manage_effects","to compare two sites to determine the possible localized extent of biodiversity change across the land mosaic"," Taxa varied in sensitivity to microlandscape, again depending on the extent of their mobility.","Patches of different ecotopes should not be separated by more than a few metres by expanses of mown lawn which isolates much of the fauna.",0
247,"TH",1998,"ecology of larval mosquitoes, with special reference to anopheles arabiensis (diptera culcidae) in market-garden wells in urban dakar, senegal","Journal of Medical Entomology","research","","africa","Senegal","Dakar","invertebrate","urban","not gradient study","business garden/farm","","food;livestock","","information","What is the ecology of mosquito larvae and the factors that influence the abundance of larvae in market-garden wells.","Market-garden wells were an important larval habitat for An. Arabiemis. Conditions favoring the larval An. arabiensis were warm temperature (>27°C), water <40 cm in depth, high carbonate concentration, high pH, and presence of water lettuce.","Conditions unfavorable were a high nitrate concentration, numerous larvivorous fish, numerous odonates, murky water, and Lemna",0
248,"TH",2005,"population dynamics of the invasive species zaprionus indianus (gupta) (diptera drosophilidae) in communities of drosophilids of porto alegre city, southern of brazil","Neotropical Entomology","research","","south america","Brazil","Porto Alegre city","invertebrate","urban","not gradient study","botanical garden;park garden/farm","","unknown","","distribution;information","evaluated the colonisation efficiency of the invader Zaprionus indianus (Gupta), in the urban area of Porto Alegre city, southern of Brazil."," An analysis of the values for Morisita similarity index shows that the Botanical Garden and Farroupilha Park had higher similarity in terms of diversity of the breeding sites."," The arrival of this invader seems to be promoting adjustments in the survival strategies of the resident species, at least at certain periods when the frequency of the populations of the invader increases significantly.",0
249,"TH",2005,"conservation biological control in urban landscapes manipulating parasitoids of bagworm (lepidoptera psychidae) with flowering forbs","Biological Control","research","","north america","USA","Illinois","invertebrate; plant","urban","not gradient study","community garden/farm","","ornamental","","manage_effects","regulation of herbivorous pests in urban landscapes can be enhancedwith  forbs  that  provide  Floral  resources  for  adult  natural  enemies.","Parasitism rates of bagworm were 71% higher in shrubs that were surrounded by Flowering forbs than inshrubs that lacked Flowers.This study also suggested that white-footed mice and European sparrows were important predators ofbagworms.","This study provides further evidence that ecological methods of pest management canbe integrated into the design of urban landscapes to improve regulation of herbivorous pests.",1
250,"TH",2011,"physical barriers and corridors in urban habitats affect colonisation and parasitism rates of a specialist leaf miner","Ecological Entomology","research","","south america","Argentina","C´ordoba city","invertebrate","urban","not gradient study","residential garden","","ornamental","","manage_effects","What are the effects of walls as physical barriers to the dispersal of the leaf miner Liriomyza commelinae Frost and colonisation of its host plant, Commelina erecta L., in urban habitats.","Constructions act as physical barriers, having a negative impact on colonisation of host plants by leaf miners. The function of pavements as corridors seems to depend on the abundance of mined plants.","Parasitism may be affected by distance from the corridor rather than physical barriers or other potential hosts.",1
251,"TH",2015,"application of coastal vegetation to green roofs of residential buildings in taiwan","Artificial Life and Robotics","research and review","","asia","Taiwan","several","plant","urban","not gradient study","buildings","1","ornamental","coastal plants","information","Description / case study of coastal plants used on a green roof.","Seasonal plants that thrive in the spring are prone to damage because of disease. coastal plant surveys, cultivation experiments andestablishing a catalog of plants suitable for roof planting are critical directions for follow-up research","",0
252,"TH",2017,"diversity in breeding sites and distribution of anopheles mosquitoes in selected urban areas of southern ghana","Parasites & Vectors","research","","asia","Ghana"," Accra, Sekondi-Takoradi","invertebrate","urban","not gradient study","community garden/farm;park garden/farm","","food;ornamental","","information","What are the characteristics of breeding habitats of Anopheles mosquitoes in the two major urban areas in southern Ghana; Accra (AMA) and Sekondi-Takoradi (STMA) Metropolitan Areas, during dry and wet seasons.","Both larval density and counts were high in wet seasons and more associated with puddles, urban farms and drains.","Proper environmental management is therefore key to curtailing the perennial breeding of Anopheles mosquitoes and for that matter malaria transmission in the two cities.",0
253,"JM",2019,"urban heat island effects on moss gardens in kyoto, japan","Landscape and Ecological Engineering","research","","asia","Japan","Kyoto","plant","urban","gradient study","botanical garden;residential garden","","ornamental","","manage_effects","Does surrounding urban space have an effect on temperature and humidity conditions for mosses grown in urban moss gardens?","Urban planning to mitigate urban heat island effect is essential for mosses. Green space within 1000 m of such gardens can effectively mitigate thermal and drought stress on garden mosses.","Hygrophilous gardens had the lowest temperature and highest relative humidity, whereas gardens with small patches of moss had the highest temperature and lowest relative humidity",0
254,"JM",2014,"vegetation in bangalore's slums boosting livelihoods, well-being and social capital","Sustainability","research","","asia","India","Bangalore","plant","urban","not gradient study","community garden/farm;residential garden","","food;medicinal; ornamental","1","none","we seek to understand the socio-cultural ecosystem services provided by vegetation in the context of urban poverty","With space constraints, more potted plants than those growing directly in ground. Our results also seem to refute the theory that lower socio-economic groups tend to overwhelmingly prefer utilitarian species","Nearly half the tree population we encountered in slums has medicinal properties, while every one out of three trees we encountered is fruit bearing. Everyone has some value - economic, medicinal, fiber, fruit, social gathering",0
255,"JM",2012,"local gardening practices shape urban lawn floristic communities","Landscape and Urban Planning","research","","europe","France","Paris","plant","exurban;suburb;urban","not gradient study","residential garden","","ornamental","","none","we explore the role of lawn management on plant species diversity, composition and traits in 100 urban lawns in Paris, France","Local factors (use of pesticides, mowing frequency, public access and ownership) had a stronger effect on lawn floristic diversity than landscape factors","Only less than 10% of the lawn species recorded were exotics",0
256,"JM",2012,"evaluating urban biodiversity in terms of user preferences urban residential landscapes in bartin (turkey)","Fresenius Environmental Bulletin","research","","asia;europe","Turkey","Bartin","plant","urban","gradient study","residential garden","","food;ornamental","","information","examines the diversity of plant species and the change in
these species in the residential areas of the old and new
urban pattern","fruit
trees and natural plant species characterize the residential
gardens in the old urban pattern, exotic plant species are
common in the new urban pattern","users in the old
urban pattern use the plants as they grow, whereas the
users in the new urban pattern use plants obtained from
nursery gardens",0
257,"JM",2006,"microbial biomass and activities in urban soils in two consecutive years","Journal of Plant Nutrition and Soil Science","research","","europe","Germany","Stuttgart","plant; soil_microbe","urban","not gradient study","residential garden","","unknown","","none","How does SOM, N cycling, and associated soil microbial activity vary across urban sites?","The lowest microbial biomass and activities were found in bare surface horizons at the most disturbed site, a disused railway area. In
contrast, at vegetated urban sites, growth and activity of soil microorganisms were promoted","microbial biomass decreased with increase in depth as quality and quantity of SOM and particularly TN concentrations concomitantly decreased. However, in the garden site, the addition of compost destratified the trends in SOM and N",0
258,"TH",2006,"urban agricultural land use and characterization of mosquito larval habitats in a medium-sized town of cote d'ivoire","Journal of Vector Ecology","research","","africa","Côte d'Ivoire","Man","invertebrate","peri-urban;urban","not gradient study","business garden/farm;residential garden","","food","","information","identify, map, and characterize potential mosquito breeding sites in agricultural land use zones in a medium-sized town of western Côte d'Ivoire and to assess risk factors for productive Anopheles breeding sites.","The highest Anopheles larval productivity was observed in rice paddies, agricultural trenches between vegetable patches, and irrigation wells.","An indirect link could be established between the occurrence of productive Anopheles breeding sites and agricultural land use through specific man-made habitats, in particular agricultural trenches, irrigation wells, and rice paddies.",0
259,"TH",2006,"urban domestic gardens (viii) environmental correlates of invertebrate abundance","Biodiversity and Conservation","research","","europe","England","Sheffield","invertebrate; plant","urban","not gradient study","community garden/farm;park garden/farm","","unknown","","information","What is the variation og biodiversity in the abundance of organisms in urban gardens","General correlates of invertebrate abundance were lacking, and likely reasons for inconsistencies in the relationships are discussed in the context of sampling and species biology.","Correlates of the greatest significance occurred at both landscape and garden scales. These factors were associated with species richness as well as abundance.",0
260,"TH",2007,"rapid spread of an invasive snail in south america the giant african snail, achatina fulica, in brasil","Biological Invasions","research","","south america","Brazil","several","invertebrate","peri-urban;urban","not gradient study","community garden/farm;park garden/farm;residential garden","","food;ornamental","","distribution","What is the state of the giant African snail, Achatina (Lissachatina) fulica in Brasil","Achatina fulica is a public health concern since it is a vector of the nematode Angiostrongylus cantonensis. It is also a potential host of Angiostrongylus costaricensis Morera and Ce´spedes.","Brasil is currently experiencing the explosive phase of the
invasion. Although A. fulica has not been considered a potentially serious large-scale agricultural
pest, it is a concern in small-scale agriculture.",0
261,"TH",2008,"distribution, feeding behavior and control strategies of the exotic land snail achatina fulica (gastropoda pulmonata) in the northeast of brazil","Brazilian Journal of Biology","research","","south america","Brazil","Bahia state","invertebrate","urban","not gradient study","residential garden","","unknown","gen veg","distribution;information","document the distribution and establishment A. fulica such as their feeding preference and behavior in situ","The data suggest that Achatina fulica is well-adapted and widely distributed in Lauro de Freitas City, and its population density was highest in the urban areas.","human action could be an important population regulator, by influencing local distribution, or by increasing or decreasing its abundance.",0
262,"TH",2008,"impact of urban agriculture on malaria vectors in accra, ghana","Malaria Journal","research","","africa","Ghana","Accra","invertebrate; plant","urban","not gradient study","community garden/farm;residential garden","","food","","information","What is the impact of urban agriculture on malaria vectors in Accra, Ghana","Entomological Inoculation Rate seems increased in urban areas where irrigated farming takes place.","",0
263,"TH",2009,"urban agriculture and anopheles habitats in dar es salaam, tanzania","Geospatial Health","research","","africa","Tanzania","Dar es Salaam","invertebrate; plant","peri-urban;urban","not gradient study","business garden/farm;residential garden","","food;ornamental","","information","How do agricultural and geographical features may influence the presence of Anopheles larvae?","Habitats containing Anopheles larvae were 1.7x higher in agricultural areas compared to other areas.","Significant predictors included location in lowland areas, proximity to river, relatively impermeable soils, specific seedbed types, mid-sized gardens, irrigation by wells, as well as cultivation of sugar cane or leafy vegetables.",0
264,"TH",2009,"bromeliad-inhabiting mosquitoes in an urban botanical garden of dengue endemic rio de janeiro. are bromeliads productive habitats for the invasive vectors aedes aegypti and aedes albopictus?","Memorias Do Instituto Oswaldo Cruz","research","","south america","Brazil","Rio de Janeiro","invertebrate; plant","urban","not gradient study","botanical garden;community garden/farm;park garden/farm;residential garden","","ornamental","","information","What is the importance of bromeliad as productive habitats for dengue vectors.","bromeliads are not important or even productive microhabitats for Ae. aegypti and, hence, do not need to be treated for dengue control.","mosquito fauna in bromeliads maintained domestically in yards or houses, where Culex spp and Wyeomyia spp may be less common than in JBRJ",0
265,"TH",2009,"recovery of invertebrate diversity in a rehabilitated city landscape mosaic in the heart of a biodiversity hotspot","Landscape and Urban Planning","research","","africa","South Africa","Cape Town","invertebrate; plant","exurban;peri-urban;urban","not gradient study","botanical garden","","ornamental","indigenous plants","manage_effects","invertebrate response to alien pine plantations, their removal in comparison with natural vegetation, recovering indigenous forests and a botanical garden around Cape Town, South Africa, within a biodiversity hotspot.","Only 16 unique invertebrate species were sampled in the botanical garden.","However, there was very high species richness and abundance of all types of invertebrates, emphasizing the important role such a garden plays in maintaining invertebrate biodiversit",0
266,"TH",2009,"development of vegetable farming a cause of the emergence of insecticide resistance in populations of anopheles gambiae in urban areas of benin","Malaria Journal","research","","africa","Benin","Cotonou, Porto-Novo, Azèrèkè","invertebrate","urban","not gradient study","business garden/farm","","food","","manage_effects","assess the rapid expansion of urban agriculture especially, its contribution to the emergence of insecticide resistance in populations of Anopheles gambiae.","a clear pattern of resistance to permethrin (76% mortality rate at Parakou; 23.5% at Porto-Novo and 17% at Cotonou).","increase activity of the vegetable farming in urban areas of Benin has led to the missuse of insecticide to control vegetable pests, which resulted to the emergence of insecticide resistance in malaria vectors.",0
267,"TH",2010,"soil-atmosphere exchange of carbon dioxide, methane and nitrous oxide in urban garden systems impact of irrigation, fertiliser and mulch","Urban Ecosystems","research","","australia","Australia","Melbourne","soil_microbe","urban","not gradient study","residential garden","residential lawns","ornamental","","manage_effects","What is the impact of irrigation, fertiliser and mulch on soil-atmosphere exchange of carbon dioxide, methane and nitrous oxide in urban garden systems?","study suggest that reducing the irrigation and fertiliser application to lawns can help mitigate GHG emissions from urban garden systems, and increasing the area of mulched perennial garden beds can also provide net GHG benefits","this needs to be tested in other garden systems with different soil types and environmental conditions.",0
268,"TH",2011,"sedum cools soil and can improve neighboring plant performance during water deficit on a green roof","Ecological Engineering","research","","north america","USA","Massachusetts","plant","peri-urban;urban","not gradient study","buildings","1","ornamental","","manage_effects","Can sedum species, which are highly tolerant of the roof-top environment, reduce peak soil temperature and increase performance of  neighboring plants during summer water deficit?","S. album reduced maximum growth of neighbor plants, Agastache rupestris and Asclepias verticillata, during favorable growth conditions, but increased performance of neighbors during summer water deficit, found to decrease peak soil temperature by 5–7 ?C.","All species decreased total growth of neighboring Agastache ‘Black Adder’ during favorable growth conditions, These results suggestthatthe palette of green roof plants can be expanded by using Sedum species as nurse plants.",0
269,"TH",2011,"small scale additions of native plants fail to increase beneficial insect richness in urban gardens","Insect Conservation and Diversity","research","","north america","USA","New York City","invertebrate; plant","urban","not gradient study","community garden/farm","","ornamental","","cons_effects;manage_effects","What  is the ability of discrete additions of native wildflowers to augment species richness of beneficial insects including bees, butterflies and predatory wasps in New York City community gardens.","Bayesian analyses failed to find a strong influence of the native plant additions on beneficial insect richness, after correcting for prior floral abundance.","exotic garden plants are utilised by, and important in maintaining richness of, beneficial insects in urbanised landscapes. garden manipulations need to be more substantial than often recommended",1
270,"TH",2012,"local and landscape scale variables impact parasitoid assemblages across an urbanization gradient","Landscape and Urban Planning","research","","north america","USA","Madison, Wisconsin","invertebrate; plant","urban","gradient study","residential garden","","unknown","urban green spaces","information","Parasitoid abundance and diversity was examined across an urbanization gradient.","Parasitoid diversity declined as impervious cover, a landscape scale variable, increased. Parasitoid abundance was positively correlated with flower diversity, but only in areas with high to moderate levels of urban dev.","Variables at multiple scales should be considered when developing conservation strategies for parasitoids.",1
271,"TH",2012,"invading from the garden? a comparison of leaf herbivory for exotic and native plants in natural and ornamental settings","Insect Science","research","","north america","USA","Cincinnati, Ohio","invertebrate; plant","urban","not gradient study","residential garden","","ornamental","","cons_effects","compare levels of leaf herbivory for native and exotic trees and shrubs in natural and ornamental settings focusing on the role of ornamental settings as a potentially favorable beachhead for the invasion of  natural habitat.","No evidence that ornamental settings afford additional release from herbivory for exotic plant species.","",1
272,"TH",2012,"green corridors in urban landscapes affect the arthropod communities of domestic gardens","Biological Conservation","research","","europe","France","Paris","invertebrate","urban","not gradient study","botanical garden;community garden/farm;park garden/farm;residential garden","","unknown","unknown","information","What is  the role of green corridors in an urban context","the role of corridors is crucial for enhancing biodiversity in green spaces such as domestic gardens.","the effectiveness of corridors in urban landscapes and have direct implications for the ecological management of cities.",0
273,"TH",2013,"vegetation development over four years on two green roofs in the uk","Urban Forestry & Urban Greening","research","","europe","England","Birmingham","plant","urban","not gradient study","buildings","1","ornamental","","information","The cover-abundance of flowering plants and habitat structural components were measured on the Domin-Krajina scale within
all identified microhabitats.","Areas of coarse substrate can act as disturbance refugia
for plants during drought by helping preserve pockets of water under large clasts and within absorbent
materials such as brick.","The plant assemblages living in areas of more fertile substrates, which grow more luxuriantly when water availability is high, are more vulnerable to drought disturbance.",0
274,"TH",2013,"urbanisation factors impacting on ant (hymenoptera formicidae) biodiversity in the perth metropolitan area, western australia two case studies","Urban Ecosystems","research","","australia","Australia","Perth","invertebrate; plant","suburb;urban","not gradient study","residential garden","","unknown","","information","Does ant diversity decline even further in the smaller urban spaces now available for colonisation? Will exotic, invasive species be even more entrenched in the most built-up sites? Does brush regrowth zones do best?","gardens and lawns produced a very depauperate fauna of 26 ant species, of which a maximum of 20 were native and at least six species were exotic. Regrowth was 2x as rich (56 spp).","ant richness, evenness and abundance were not significantly correlated with size of the garden area.",0
275,"TH",2013,"a social-ecological assessment of vacant lots in new york city","Landscape and Urban Planning","research","","north america","USA","New York","plant","peri-urban;urban","not gradient study","community garden/farm;park garden/farm;residential garden","","unknown","","information","What are  the composition, uses and neighborhood context of vacant lots in New York City","many vacant lots in New York City are used as community gardens, residential yards, parks, parking areas and sports fields.","Neighborhood income and lot vegetation are significantly associated with most of the ways that vacant lots are used in practice.",0
276,"TH",2013,"evaluation of native species for use in green roofs in the semiarid mediterranean region of central chile","Acta Horticulturae","research","","south america","Chile","Santiago","plant","urban","not gradient study","buildings","1","ornamental","","manage_effects"," test Chilean native plants under green roof conditions using an appropriate substrate of local origin."," During the first growing season was possible to observe that weed pressure was 8 times less than in the garden controls."," In general, the four plant groups shown to be suitable to be grown under green roof conditions with the exception of Plumbago coerulea that was not frost resistant.",0
277,"TH",2013,"green roof plant suitability analysis for northern climates","HortTechnology","research","","north america","Canada","Princeton, Ontario","plant","urban","not gradient study","buildings","1","ornamental","native","information","What is the suitability of a diverse selection of plant species for use in extensive green roof projects located in northern climates, 2) determine compatibilities between species, 3) are they good for mat production systems?","All species but false rock cress (Aubrieta cultorum) were found to be suitable for extensive green roof applications in northern climates, although there were variations of suitability among the species.","Good, mediocre, and poor interactions formed between numerous species, displaying different levels of compatibility. all species were considered appropriate for a mat production system",0
278,"TH",2014,"vacant land conversion to community gardens influences on generalist arthropod predators and biocontrol services in urban greenspaces","Urban Ecosystems","research","","north america","USA","Akron, Cleveland","invertebrate","urban","not gradient study","community garden/farm;park garden/farm","","food","","information","how does the conversion of vacant land to urban gardens and farms influenced arthropod generalist predator populations and their ability to support biocontrol services."," the abundance of Coccinellidae and Syrphidae, and the activity density of Carabidae, Formicidae, and Lycosidae were equivalent among vacant lot and urban garden sites.","",1
279,"TH",2014,"diverse urban plantings managed with sufficient resource availability can increase plant productivity and arthropod diversity","Frontiers in Plant Science","research","","australia","Australia","Brisbane","invertebrate; plant","urban","not gradient study","community garden/farm;residential garden","","unknown","","manage_effects","how the provision of these additional ecological values is affected by plant species richness","Differences in plant cover were best explained by a three-way interaction of plant species richness, management water regime and sampling period.","urban plantings can provide additional ecological values if essential resources are maintained within a planter such as water, light and soil temperature.",0
